INFO - 2024-07-23 18:06:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:13 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:14 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:06:14 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (135 bytes)
INFO - 2024-07-23 18:06:14 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:39 - Sending CONNECT (u0, p0, wr0, wq0, wf0, c1, k60) client_id=b'logger'
INFO - 2024-07-23 18:15:39 - Received CONNACK (0, 0)
INFO - 2024-07-23 18:15:39 - Sending SUBSCRIBE (d0, m1) [(b'/topic/logging/mqtt', 0)]
INFO - 2024-07-23 18:15:39 - Sending SUBSCRIBE (d0, m2) [(b'/topic/logging/filesystem', 0)]
INFO - 2024-07-23 18:15:39 - Received SUBACK
INFO - 2024-07-23 18:15:39 - Received SUBACK
INFO - 2024-07-23 18:15:46 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:46 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:47 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:47 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:47 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:47 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:48 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:48 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:48 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:48 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:48 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:49 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
